RH	TEMP	WINDSPEED	ELAPSEDTIME 
%	degC	cm/s	ms     
0.0000  13.00  790.304687  28735.00
0.0000  14.00  842.117187  28846.00
0.0000  14.00  790.304687  28955.00
0.0000  14.00  790.304687  29066.00
0.0000  14.00  803.242187  29175.00
0.0000  15.00  751.546875  29286.00
0.0000  15.00  751.546875  29395.00
0.0000  15.00  751.546875  29506.00
0.0000  15.00  751.546875  29616.00
0.0000  14.00  751.546875  29726.00
0.0000  17.00  751.546875  29836.00
0.0000  14.00  790.304687  29946.00
0.0000  15.00  751.546875  30056.00
0.0000  14.00  777.375000  30167.00
0.0000  14.00  751.546875  30276.00
0.0000  14.00  725.753906  30387.00
0.0000  15.00  738.644531  30496.00
0.0000  15.00  674.281250  30607.00
0.0000  15.00  751.546875  30716.00
0.0000  14.00  674.281250  30827.00
0.0000  15.00  751.546875  30937.00
0.0000  15.00  674.281250  31047.00
0.0000  14.00  751.546875  31157.00
0.0000  15.00  725.753906  31267.00
0.0000  15.00  803.242187  31377.00
0.0000  15.00  674.281250  31488.00
0.0000  15.00  751.546875  31597.00
0.0000  15.00  661.441406  31708.00
0.0000  14.00  790.304687  31817.00
0.0000  14.00  725.753906  31928.00
0.0000  14.00  803.242187  32037.00
0.0000  14.00  674.281250  32148.00
0.0000  14.00  751.546875  32259.00
0.0000  14.00  661.441406  32368.00
0.0000  14.00  751.546875  32479.00
0.0000  14.00  700.000000  32588.00
0.0000  14.00  738.644531  32699.00
0.0000  14.00  661.441406  32808.00
0.0000  14.00  738.644531  32919.00
0.0000  14.00  751.546875  33029.00
0.0000  14.00  700.000000  33139.00
0.0000  14.00  738.644531  33249.00
0.0000  14.00  674.281250  33359.00
0.0000  14.00  712.871093  33469.00
0.0000  13.00  622.960937  33580.00
0.0000  14.00  700.000000  33690.00
0.0000  14.00  318.179687  33800.00
0.0000  14.00  700.000000  33910.00
0.0000  14.00  622.960937  34020.00
0.0000  14.00  751.546875  34130.00
0.0000  14.00  751.546875  34240.00
0.0000  14.00  751.546875  34351.00
0.0000  14.00  712.871093  34460.00
0.0000  14.00  712.871093  34571.00
0.0000  14.00  751.546875  34680.00
0.0000  14.00  661.441406  34791.00
0.0000  14.00  738.644531  34900.00
0.0000  14.00  661.441406  35011.00
0.0000  14.00  738.644531  35121.00
0.0000  14.00  661.441406  35231.00
0.0000  14.00  751.546875  35342.00
0.0000  14.00  674.281250  35451.00
